Sport,Total_Sport_Medals,Countries_With_Medals,Competitive_Pressure_Index,Leader_Dominance,Difficulty_Score
Athletics,985,86,0.08730964467005076,1.0,0.08730964467005076
Boxing,344,57,0.16569767441860464,0.349238578680203,0.05786802030456852
Shooting,327,56,0.1712538226299694,0.3319796954314721,0.05685279187817259
Judo,400,55,0.1375,0.40609137055837563,0.05583756345177666
Wrestling,461,54,0.11713665943600868,0.46802030456852795,0.05482233502538071
Weightlifting,297,52,0.1750841750841751,0.3015228426395939,0.05279187817258883
Taekwondo,208,48,0.23076923076923078,0.21116751269035533,0.048730964467005075
Swimming,712,45,0.06320224719101124,0.7228426395939086,0.04568527918781726
Sailing,219,36,0.1643835616438356,0.22233502538071065,0.03654822335025381
Canoeing,241,34,0.14107883817427386,0.24467005076142131,0.03451776649746193
Rowing,294,34,0.11564625850340136,0.2984771573604061,0.03451776649746193
Cycling,270,34,0.1259259259259259,0.27411167512690354,0.03451776649746193
Tennis,96,31,0.3229166666666667,0.09746192893401015,0.03147208121827411
Fencing,222,25,0.11261261261261261,0.22538071065989848,0.025380710659898477
Artistic Gymnastics,86,25,0.29069767441860467,0.08730964467005076,0.025380710659898477
Gymnastics,210,24,0.11428571428571428,0.2131979695431472,0.024365482233502538
Canoe Sprint,55,23,0.41818181818181815,0.05583756345177665,0.023350253807106598
Modern Pentathlon,42,20,0.47619047619047616,0.04263959390862944,0.02030456852791878
Football,42,19,0.4523809523809524,0.04263959390862944,0.019289340101522844
Karate,32,19,0.59375,0.03248730964467005,0.019289340101522844
Cycling Track,72,19,0.2638888888888889,0.07309644670050762,0.019289340101522844
Diving,168,18,0.10714285714285714,0.17055837563451776,0.018274111675126905
Archery,90,17,0.18888888888888888,0.09137055837563451,0.017258883248730966
Triathlon,48,16,0.3333333333333333,0.048730964467005075,0.016243654822335026
Equestrianism,90,15,0.16666666666666666,0.09137055837563451,0.015228426395939087
Beach Volleyball,42,15,0.35714285714285715,0.04263959390862944,0.015228426395939087
Badminton,104,15,0.14423076923076922,0.10558375634517767,0.015228426395939085
Handball,42,14,0.3333333333333333,0.04263959390862944,0.014213197969543147
Volleyball,42,14,0.3333333333333333,0.04263959390862944,0.014213197969543147
Canoe Slalom,30,13,0.43333333333333335,0.030456852791878174,0.013197969543147208
Table Tennis,90,12,0.13333333333333333,0.09137055837563451,0.012182741116751269
Water Polo,42,12,0.2857142857142857,0.04263959390862944,0.012182741116751269
Equestrian,36,12,0.3333333333333333,0.03654822335025381,0.012182741116751269
Basketball,42,11,0.2619047619047619,0.04263959390862944,0.01116751269035533
Cycling Road,24,11,0.4583333333333333,0.024365482233502538,0.01116751269035533
Rhythmic Gymnastics,36,10,0.2777777777777778,0.03654822335025381,0.01015228426395939
Hockey,42,10,0.23809523809523808,0.04263959390862944,0.01015228426395939
3x3 Basketball,12,10,0.8333333333333334,0.012182741116751269,0.01015228426395939
Golf,18,10,0.5555555555555556,0.018274111675126905,0.01015228426395939
Trampolining,30,9,0.3,0.030456852791878174,0.009137055837563452
Rugby Sevens,18,9,0.5,0.018274111675126905,0.009137055837563452
Sport Climbing,18,9,0.5,0.018274111675126905,0.009137055837563452
Cycling BMX Freestyle,12,8,0.6666666666666666,0.012182741116751269,0.008121827411167513
Synchronized Swimming,30,7,0.23333333333333334,0.030456852791878174,0.007106598984771574
Marathon Swimming,12,7,0.5833333333333334,0.012182741116751269,0.007106598984771574
Cycling Mountain Bike,12,7,0.5833333333333334,0.012182741116751269,0.007106598984771574
Trampoline Gymnastics,12,7,0.5833333333333334,0.012182741116751269,0.007106598984771574
Surfing,12,6,0.5,0.012182741116751269,0.006091370558375634
Cycling BMX Racing,12,6,0.5,0.012182741116751269,0.006091370558375634
Artistic Swimming,9,6,0.6666666666666666,0.009137055837563452,0.006091370558375634
Breaking,6,6,1.0,0.006091370558375634,0.006091370558375634
Skateboarding,24,5,0.20833333333333334,0.024365482233502538,0.005076142131979695
Baseball,9,5,0.5555555555555556,0.009137055837563452,0.005076142131979695
Baseball/Softball,6,4,0.6666666666666666,0.006091370558375634,0.0040609137055837565
Softball,9,3,0.3333333333333333,0.009137055837563452,0.003045685279187817
