Sport,NOC,Total_Medals,Rank
3x3 Basketball,ESP,1,2.0
3x3 Basketball,FRA,1,2.0
3x3 Basketball,GER,1,2.0
3x3 Basketball,HKG,1,2.0
3x3 Basketball,LAT,1,2.0
3x3 Basketball,LTU,1,2.0
3x3 Basketball,NED,1,2.0
3x3 Basketball,URS,2,1.0
3x3 Basketball,USA,2,1.0
3x3 Basketball,YUG,1,2.0
Archery,CHN,7,2.0
Archery,FRA,4,5.0
Archery,ITA,6,3.0
Archery,JPN,5,4.0
Archery,KOR,34,1.0
Archery,MEX,4,5.0
Archery,TPE,4,5.0
Archery,USA,7,2.0
Artistic Gymnastics,BRA,6,4.0
Artistic Gymnastics,CHN,9,2.0
Artistic Gymnastics,GBR,4,5.0
Artistic Gymnastics,HKG,8,3.0
Artistic Gymnastics,ITA,4,5.0
Artistic Gymnastics,JPN,9,2.0
Artistic Gymnastics,URS,8,3.0
Artistic Gymnastics,USA,15,1.0
Artistic Swimming,CHN,1,2.0
Artistic Swimming,ESP,1,2.0
Artistic Swimming,HKG,2,1.0
Artistic Swimming,UKR,2,1.0
Artistic Swimming,URS,2,1.0
Artistic Swimming,USA,1,2.0
Athletics,ETH,45,5.0
Athletics,JAM,61,4.0
Athletics,KEN,74,2.0
Athletics,RUS,67,3.0
Athletics,USA,184,1.0
Badminton,CHN,37,1.0
Badminton,DEN,8,4.0
Badminton,INA,12,3.0
Badminton,KOR,14,2.0
Badminton,MAS,7,5.0
Baseball,AUS,1,3.0
Baseball,CUB,3,1.0
Baseball,JPN,1,3.0
Baseball,KOR,2,2.0
Baseball,USA,2,2.0
Baseball/Softball,DOM,1,2.0
Baseball/Softball,JPN,2,1.0
Baseball/Softball,NFL,1,2.0
Baseball/Softball,USA,2,1.0
Basketball,ARG,2,5.0
Basketball,AUS,6,2.0
Basketball,ESP,4,3.0
Basketball,FRA,6,2.0
Basketball,RUS,3,4.0
Basketball,SRB,3,4.0
Basketball,USA,14,1.0
Beach Volleyball,AUS,2,5.0
Beach Volleyball,BRA,12,1.0
Beach Volleyball,CHN,2,5.0
Beach Volleyball,GER,4,3.0
Beach Volleyball,NOR,2,5.0
Beach Volleyball,SUI,3,4.0
Beach Volleyball,USA,9,2.0
Boxing,CUB,39,1.0
Boxing,GBR,20,4.0
Boxing,KAZ,22,3.0
Boxing,RUS,26,2.0
Boxing,UZB,19,5.0
Breaking,CAN,1,1.0
Breaking,CHN,1,1.0
Breaking,FRA,1,1.0
Breaking,JPN,1,1.0
Breaking,LTU,1,1.0
Breaking,USA,1,1.0
Canoe Slalom,AUS,5,1.0
Canoe Slalom,ESP,2,4.0
Canoe Slalom,FRA,3,3.0
Canoe Slalom,GBR,5,1.0
Canoe Slalom,GER,2,4.0
Canoe Slalom,ITA,1,5.0
Canoe Slalom,NZL,1,5.0
Canoe Slalom,POL,1,5.0
Canoe Slalom,SAA,4,2.0
Canoe Slalom,SLO,1,5.0
