Sport,Base_Prediction,Raw_Gain,ROI_Percentage,Structural_Strength,Strategy
Hockey,0.16572826,0.952617,381.04679584503174,0.48,High-Return Investment
Alpine Skiing,0.006070213,0.95261693,381.0467720031738,0.0,Stable Core Sport
Football,0.006070213,0.95261693,381.0467720031738,0.0,Stable Core Sport
Water Polo,0.006070213,0.95261693,381.0467720031738,0.0,Stable Core Sport
Table Tennis,0.006070213,0.95261693,381.0467720031738,0.0,Stable Core Sport
Swimming,0.006070213,0.95261693,381.0467720031738,0.0,Stable Core Sport
Sailing,0.006070213,0.95261693,381.0467720031738,0.0,Stable Core Sport
Rowing,0.006070213,0.95261693,381.0467720031738,0.0,Stable Core Sport
Judo,0.006070213,0.95261693,381.0467720031738,0.0,Stable Core Sport
Gymnastics,0.006070213,0.95261693,381.0467720031738,0.0,Stable Core Sport
Golf,0.006070213,0.95261693,381.0467720031738,0.0,Stable Core Sport
Equestrianism,0.006070213,0.95261693,381.0467720031738,0.0,Stable Core Sport
Diving,0.006070213,0.95261693,381.0467720031738,0.0,Stable Core Sport
Cycling,0.006070213,0.95261693,381.0467720031738,0.0,Stable Core Sport
Basketball,0.006070213,0.95261693,381.0467720031738,0.0,Stable Core Sport
Art Competitions,0.006070213,0.95261693,381.0467720031738,0.0,Stable Core Sport
Archery,0.006070213,0.95261693,381.0467720031738,0.0,Stable Core Sport
Alpinism,0.0025171323,0.9526169,381.0467481613159,0.04,Stable Core Sport
Tennis,0.0025171323,0.9526169,381.0467481613159,0.04,Stable Core Sport
Athletics,0.021813039,0.9526168,381.046724319458,0.12,Stable Core Sport
Shooting,0.97442985,0.0,0.0,0.16,Stable Core Sport
Wrestling,0.13900475,-0.0059445947,-2.377837896347046,0.28,Stable Core Sport
Boxing,0.027757699,-0.00594466,-2.377863973379135,0.12,Stable Core Sport
Badminton,0.027757699,-0.00594466,-2.377863973379135,0.12,Stable Core Sport
Weightlifting,0.032588225,-0.0059446655,-2.377866208553314,0.08,Stable Core Sport
