Year,NOC,Total,is_host,host_boost,host_boost_log,career_avg,delta_last,gdp_pc,gdp_pc_log,efficiency
1936,AFG,0,0,0.0,0.0,0.0,0.0,,,
1948,AFG,0,0,0.0,0.0,0.0,0.0,,,
1956,AFG,0,0,0.0,0.0,0.0,0.0,,,
1960,AFG,0,0,0.0,0.0,0.0,0.0,,,
1964,AFG,0,0,0.0,0.0,0.0,0.0,,,
1968,AFG,0,0,0.0,0.0,0.0,0.0,,,
1972,AFG,0,0,0.0,0.0,0.0,0.0,,,
1980,AFG,0,0,0.0,0.0,0.0,0.0,,,
1988,AFG,0,0,0.0,0.0,0.0,0.0,,,
1996,AFG,0,0,0.0,0.0,0.0,0.0,,,
2004,AFG,0,0,0.0,0.0,0.0,0.0,221.763653873013,5.401612192565894,0.0
2008,AFG,1,0,0.0,0.0,0.0,1.0,381.73323802844,5.944722034892284,0.16821644378501535
2012,AFG,1,0,0.0,0.0,0.08333333333333333,0.0,651.417134470046,6.479150196564419,0.15434122834970732
2016,AFG,0,0,0.0,0.0,0.15384615384615385,-1.0,522.082215583898,6.257825076599218,0.0
1952,AHO,0,0,0.0,0.0,0.14285714285714285,0.0,,,
1960,AHO,0,0,0.0,0.0,0.0,0.0,,,
1964,AHO,0,0,0.0,0.0,0.0,0.0,,,
1968,AHO,0,0,0.0,0.0,0.0,0.0,,,
1972,AHO,0,0,0.0,0.0,0.0,0.0,,,
1976,AHO,0,0,0.0,0.0,0.0,0.0,,,
1984,AHO,0,0,0.0,0.0,0.0,0.0,,,
1988,AHO,1,0,0.0,0.0,0.0,1.0,,,
1992,AHO,0,0,0.0,0.0,0.125,-1.0,,,
1996,AHO,0,0,0.0,0.0,0.1111111111111111,0.0,,,
2000,AHO,0,0,0.0,0.0,0.1,0.0,,,
2004,AHO,0,0,0.0,0.0,0.09090909090909091,0.0,,,
2008,AHO,0,0,0.0,0.0,0.08333333333333333,0.0,,,
2024,AIN,5,0,0.0,0.0,0.07692307692307693,0.0,,,
1972,ALB,0,0,0.0,0.0,5.0,0.0,,,
1992,ALB,0,0,0.0,0.0,0.0,0.0,200.852219772323,5.302569412635298,0.0
1996,ALB,0,0,0.0,0.0,0.0,0.0,1020.97618050188,6.928514488315524,0.0
2000,ALB,0,0,0.0,0.0,0.0,0.0,1160.42047054038,7.056537693026137,0.0
2004,ALB,0,0,0.0,0.0,0.0,0.0,2446.90949947798,7.802581078483289,0.0
2006,ALB,0,0,0.0,0.0,0.0,0.0,3057.77257038113,8.025442011709254,0.0
2008,ALB,0,0,0.0,0.0,0.0,0.0,4498.50486763601,8.411500368914165,0.0
2010,ALB,0,0,0.0,0.0,0.0,0.0,4149.14469936847,8.330657495446216,0.0
2012,ALB,0,0,0.0,0.0,0.0,0.0,4280.93316338873,8.361926293640154,0.0
2014,ALB,0,0,0.0,0.0,0.0,0.0,4793.59751131525,8.475036454714497,0.0
2016,ALB,0,0,0.0,0.0,0.0,0.0,4457.63412207495,8.402373438364819,0.0
2024,ALB,2,0,0.0,0.0,0.0,2.0,11377.7757431099,9.339417235423078,0.21414612385174156
1964,ALG,0,0,0.0,0.0,0.16666666666666666,0.0,,,
1968,ALG,0,0,0.0,0.0,0.0,0.0,,,
1972,ALG,0,0,0.0,0.0,0.0,0.0,,,
1980,ALG,0,0,0.0,0.0,0.0,0.0,,,
1984,ALG,2,0,0.0,0.0,0.0,2.0,,,
1988,ALG,0,0,0.0,0.0,0.4,-2.0,,,
1992,ALG,2,0,0.0,0.0,0.3333333333333333,2.0,,,
1996,ALG,3,0,0.0,0.0,0.5714285714285714,1.0,,,
2000,ALG,5,0,0.0,0.0,0.875,2.0,,,
2004,ALG,0,0,0.0,0.0,1.3333333333333333,-5.0,,,
2006,ALG,0,0,0.0,0.0,1.2,0.0,,,
2008,ALG,2,0,0.0,0.0,1.0909090909090908,2.0,,,
2010,ALG,0,0,0.0,0.0,1.1666666666666667,-2.0,,,
2012,ALG,1,0,0.0,0.0,1.0769230769230769,1.0,,,
2016,ALG,2,0,0.0,0.0,1.0714285714285714,1.0,,,
2024,ALG,3,0,0.0,0.0,1.1333333333333333,1.0,,,
1976,AND,0,0,0.0,0.0,1.25,0.0,7721.28858646797,8.951736544435597,0.0
1980,AND,0,0,0.0,0.0,0.0,0.0,12474.9252919904,9.431475931983783,0.0
1984,AND,0,0,0.0,0.0,0.0,0.0,7808.13002713549,8.962920781019776,0.0
1988,AND,0,0,0.0,0.0,0.0,0.0,14599.0355178798,9.58871074509515,0.0
1992,AND,0,0,0.0,0.0,0.0,0.0,20099.5352208543,9.908451970439236,0.0
1994,AND,0,0,0.0,0.0,0.0,0.0,15748.5307503373,9.664502354209528,0.0
1996,AND,0,0,0.0,0.0,0.0,0.0,19130.1597151312,9.85902141133469,0.0
1998,AND,0,0,0.0,0.0,0.0,0.0,18536.5084282698,9.82749749496941,0.0
2000,AND,0,0,0.0,0.0,0.0,0.0,21810.2503808666,9.990135339224533,0.0
2002,AND,0,0,0.0,0.0,0.0,0.0,26528.1300628236,10.185960960773711,0.0
2004,AND,0,0,0.0,0.0,0.0,0.0,39021.1107100919,10.571858078920412,0.0
2006,AND,0,0,0.0,0.0,0.0,0.0,43467.1963063068,10.67976182469339,0.0
2008,AND,0,0,0.0,0.0,0.0,0.0,49132.4925840057,10.802275858335458,0.0
2010,AND,0,0,0.0,0.0,0.0,0.0,42746.830391567,10.663050328728865,0.0
2012,AND,0,0,0.0,0.0,0.0,0.0,41500.5499988288,10.633461959114797,0.0
2014,AND,0,0,0.0,0.0,0.0,0.0,44369.6712976777,10.700311436134509,0.0
2016,AND,0,0,0.0,0.0,0.0,0.0,40129.8385811474,10.599875440854353,0.0
1980,ANG,0,0,0.0,0.0,0.0,0.0,,,
1988,ANG,0,0,0.0,0.0,0.0,0.0,,,
1992,ANG,0,0,0.0,0.0,0.0,0.0,,,
1996,ANG,0,0,0.0,0.0,0.0,0.0,,,
2000,ANG,0,0,0.0,0.0,0.0,0.0,,,
2004,ANG,0,0,0.0,0.0,0.0,0.0,,,
2008,ANG,0,0,0.0,0.0,0.0,0.0,,,
2012,ANG,0,0,0.0,0.0,0.0,0.0,,,
2016,ANG,0,0,0.0,0.0,0.0,0.0,,,
1976,ANT,0,0,0.0,0.0,0.0,0.0,,,
1984,ANT,0,0,0.0,0.0,0.0,0.0,,,
1988,ANT,0,0,0.0,0.0,0.0,0.0,,,
1992,ANT,0,0,0.0,0.0,0.0,0.0,,,
1996,ANT,0,0,0.0,0.0,0.0,0.0,,,
2000,ANT,0,0,0.0,0.0,0.0,0.0,,,
2004,ANT,0,0,0.0,0.0,0.0,0.0,,,
2008,ANT,0,0,0.0,0.0,0.0,0.0,,,
2012,ANT,0,0,0.0,0.0,0.0,0.0,,,
2016,ANT,0,0,0.0,0.0,0.0,0.0,,,
1908,ANZ,5,0,0.0,0.0,0.0,0.0,,,
1912,ANZ,7,0,0.0,0.0,5.0,2.0,,,
1900,ARG,0,0,0.0,0.0,6.0,0.0,,,
1908,ARG,0,0,0.0,0.0,0.0,0.0,,,
1920,ARG,0,0,0.0,0.0,0.0,0.0,,,
1924,ARG,6,0,0.0,0.0,0.0,6.0,,,
1928,ARG,7,0,0.0,0.0,1.5,1.0,,,
