Year,NOC,Total,is_host,host_boost,host_boost_log,career_avg,delta_last,gdp_pc,gdp_pc_log,efficiency
1896,AFG,0.0,0,0.0,0.0,0.0,0.0,,,
1900,AFG,0.0,0,0.0,0.0,0.0,0.0,,,
1904,AFG,0.0,0,0.0,0.0,0.0,0.0,,,
1908,AFG,0.0,0,0.0,0.0,0.0,0.0,,,
1912,AFG,0.0,0,0.0,0.0,0.0,0.0,,,
1920,AFG,0.0,0,0.0,0.0,0.0,0.0,,,
1924,AFG,0.0,0,0.0,0.0,0.0,0.0,,,
1928,AFG,0.0,0,0.0,0.0,0.0,0.0,,,
1932,AFG,0.0,0,0.0,0.0,0.0,0.0,,,
1936,AFG,0.0,0,0.0,0.0,0.0,0.0,,,
1948,AFG,0.0,0,0.0,0.0,0.0,0.0,,,
1952,AFG,0.0,0,0.0,0.0,0.0,0.0,,,
1956,AFG,0.0,0,0.0,0.0,0.0,0.0,,,
1960,AFG,0.0,0,0.0,0.0,0.0,0.0,,,
1964,AFG,0.0,0,0.0,0.0,0.0,0.0,,,
1968,AFG,0.0,0,0.0,0.0,0.0,0.0,,,
1972,AFG,0.0,0,0.0,0.0,0.0,0.0,,,
1976,AFG,0.0,0,0.0,0.0,0.0,0.0,,,
1980,AFG,0.0,0,0.0,0.0,0.0,0.0,,,
1984,AFG,0.0,0,0.0,0.0,0.0,0.0,,,
1988,AFG,0.0,0,0.0,0.0,0.0,0.0,,,
1992,AFG,0.0,0,0.0,0.0,0.0,0.0,,,
1996,AFG,0.0,0,0.0,0.0,0.0,0.0,,,
2000,AFG,0.0,0,0.0,0.0,0.0,0.0,174.930991430166,5.16439156146838,0.0
2004,AFG,0.0,0,0.0,0.0,0.0,0.0,221.763653873013,5.401612192565894,0.0
2008,AFG,1.0,0,0.0,0.0,0.0,1.0,381.73323802844,5.944722034892284,0.16821644378501535
2012,AFG,1.0,0,0.0,0.0,0.038461538461538464,0.0,651.417134470046,6.479150196564419,0.15434122834970732
2016,AFG,0.0,0,0.0,0.0,0.07407407407407407,-1.0,522.082215583898,6.257825076599218,0.0
2020,AFG,0.0,0,0.0,0.0,0.07142857142857142,0.0,510.787063366811,6.235952797617645,0.0
2024,AFG,0.0,0,0.0,0.0,0.06896551724137931,0.0,413.757894705303,6.0252810073679735,0.0
1896,AHO,0.0,0,0.0,0.0,0.06666666666666667,0.0,,,
1900,AHO,0.0,0,0.0,0.0,0.0,0.0,,,
1904,AHO,0.0,0,0.0,0.0,0.0,0.0,,,
1908,AHO,0.0,0,0.0,0.0,0.0,0.0,,,
1912,AHO,0.0,0,0.0,0.0,0.0,0.0,,,
1920,AHO,0.0,0,0.0,0.0,0.0,0.0,,,
1924,AHO,0.0,0,0.0,0.0,0.0,0.0,,,
1928,AHO,0.0,0,0.0,0.0,0.0,0.0,,,
1932,AHO,0.0,0,0.0,0.0,0.0,0.0,,,
1936,AHO,0.0,0,0.0,0.0,0.0,0.0,,,
1948,AHO,0.0,0,0.0,0.0,0.0,0.0,,,
1952,AHO,0.0,0,0.0,0.0,0.0,0.0,,,
1956,AHO,0.0,0,0.0,0.0,0.0,0.0,,,
1960,AHO,0.0,0,0.0,0.0,0.0,0.0,,,
1964,AHO,0.0,0,0.0,0.0,0.0,0.0,,,
1968,AHO,0.0,0,0.0,0.0,0.0,0.0,,,
1972,AHO,0.0,0,0.0,0.0,0.0,0.0,,,
1976,AHO,0.0,0,0.0,0.0,0.0,0.0,,,
1980,AHO,0.0,0,0.0,0.0,0.0,0.0,,,
1984,AHO,0.0,0,0.0,0.0,0.0,0.0,,,
1988,AHO,1.0,0,0.0,0.0,0.0,1.0,,,
1992,AHO,0.0,0,0.0,0.0,0.047619047619047616,-1.0,,,
1996,AHO,0.0,0,0.0,0.0,0.045454545454545456,0.0,,,
2000,AHO,0.0,0,0.0,0.0,0.043478260869565216,0.0,,,
2004,AHO,0.0,0,0.0,0.0,0.041666666666666664,0.0,,,
2008,AHO,0.0,0,0.0,0.0,0.04,0.0,,,
2012,AHO,0.0,0,0.0,0.0,0.038461538461538464,0.0,,,
2016,AHO,0.0,0,0.0,0.0,0.037037037037037035,0.0,,,
2020,AHO,0.0,0,0.0,0.0,0.03571428571428571,0.0,,,
2024,AHO,0.0,0,0.0,0.0,0.034482758620689655,0.0,,,
1896,AIN,0.0,0,0.0,0.0,0.03333333333333333,0.0,,,
1900,AIN,0.0,0,0.0,0.0,0.0,0.0,,,
1904,AIN,0.0,0,0.0,0.0,0.0,0.0,,,
1908,AIN,0.0,0,0.0,0.0,0.0,0.0,,,
1912,AIN,0.0,0,0.0,0.0,0.0,0.0,,,
1920,AIN,0.0,0,0.0,0.0,0.0,0.0,,,
1924,AIN,0.0,0,0.0,0.0,0.0,0.0,,,
1928,AIN,0.0,0,0.0,0.0,0.0,0.0,,,
1932,AIN,0.0,0,0.0,0.0,0.0,0.0,,,
1936,AIN,0.0,0,0.0,0.0,0.0,0.0,,,
1948,AIN,0.0,0,0.0,0.0,0.0,0.0,,,
1952,AIN,0.0,0,0.0,0.0,0.0,0.0,,,
1956,AIN,0.0,0,0.0,0.0,0.0,0.0,,,
1960,AIN,0.0,0,0.0,0.0,0.0,0.0,,,
1964,AIN,0.0,0,0.0,0.0,0.0,0.0,,,
1968,AIN,0.0,0,0.0,0.0,0.0,0.0,,,
1972,AIN,0.0,0,0.0,0.0,0.0,0.0,,,
1976,AIN,0.0,0,0.0,0.0,0.0,0.0,,,
1980,AIN,0.0,0,0.0,0.0,0.0,0.0,,,
1984,AIN,0.0,0,0.0,0.0,0.0,0.0,,,
1988,AIN,0.0,0,0.0,0.0,0.0,0.0,,,
1992,AIN,0.0,0,0.0,0.0,0.0,0.0,,,
1996,AIN,0.0,0,0.0,0.0,0.0,0.0,,,
2000,AIN,0.0,0,0.0,0.0,0.0,0.0,,,
2004,AIN,0.0,0,0.0,0.0,0.0,0.0,,,
2008,AIN,0.0,0,0.0,0.0,0.0,0.0,,,
2012,AIN,0.0,0,0.0,0.0,0.0,0.0,,,
2016,AIN,0.0,0,0.0,0.0,0.0,0.0,,,
2020,AIN,0.0,0,0.0,0.0,0.0,0.0,,,
2024,AIN,5.0,0,0.0,0.0,0.0,5.0,,,
1896,ALB,0.0,0,0.0,0.0,0.16666666666666666,0.0,,,
1900,ALB,0.0,0,0.0,0.0,0.0,0.0,,,
1904,ALB,0.0,0,0.0,0.0,0.0,0.0,,,
1908,ALB,0.0,0,0.0,0.0,0.0,0.0,,,
1912,ALB,0.0,0,0.0,0.0,0.0,0.0,,,
1920,ALB,0.0,0,0.0,0.0,0.0,0.0,,,
1924,ALB,0.0,0,0.0,0.0,0.0,0.0,,,
1928,ALB,0.0,0,0.0,0.0,0.0,0.0,,,
1932,ALB,0.0,0,0.0,0.0,0.0,0.0,,,
1936,ALB,0.0,0,0.0,0.0,0.0,0.0,,,
1948,ALB,0.0,0,0.0,0.0,0.0,0.0,,,
1952,ALB,0.0,0,0.0,0.0,0.0,0.0,,,
1956,ALB,0.0,0,0.0,0.0,0.0,0.0,,,
1960,ALB,0.0,0,0.0,0.0,0.0,0.0,,,
1964,ALB,0.0,0,0.0,0.0,0.0,0.0,,,
1968,ALB,0.0,0,0.0,0.0,0.0,0.0,,,
1972,ALB,0.0,0,0.0,0.0,0.0,0.0,,,
1976,ALB,0.0,0,0.0,0.0,0.0,0.0,,,
1980,ALB,0.0,0,0.0,0.0,0.0,0.0,590.607738430529,6.381152071883193,0.0
1984,ALB,0.0,0,0.0,0.0,0.0,0.0,639.484730161417,6.4606627429565195,0.0
1988,ALB,0.0,0,0.0,0.0,0.0,0.0,652.774321396566,6.481231466780266,0.0
1992,ALB,0.0,0,0.0,0.0,0.0,0.0,200.852219772323,5.302569412635298,0.0
1996,ALB,0.0,0,0.0,0.0,0.0,0.0,1020.97618050188,6.928514488315524,0.0
2000,ALB,0.0,0,0.0,0.0,0.0,0.0,1160.42047054038,7.056537693026137,0.0
2004,ALB,0.0,0,0.0,0.0,0.0,0.0,2446.90949947798,7.802581078483289,0.0
2008,ALB,0.0,0,0.0,0.0,0.0,0.0,4498.50486763601,8.411500368914165,0.0
2012,ALB,0.0,0,0.0,0.0,0.0,0.0,4280.93316338873,8.361926293640154,0.0
2016,ALB,0.0,0,0.0,0.0,0.0,0.0,4457.63412207495,8.402373438364819,0.0
2020,ALB,0.0,0,0.0,0.0,0.0,0.0,6027.91350716348,8.70415621113042,0.0
2024,ALB,2.0,0,0.0,0.0,0.0,2.0,11377.7757431099,9.339417235423078,0.21414612385174156
1896,ALG,0.0,0,0.0,0.0,0.06666666666666667,0.0,,,
1900,ALG,0.0,0,0.0,0.0,0.0,0.0,,,
1904,ALG,0.0,0,0.0,0.0,0.0,0.0,,,
1908,ALG,0.0,0,0.0,0.0,0.0,0.0,,,
1912,ALG,0.0,0,0.0,0.0,0.0,0.0,,,
1920,ALG,0.0,0,0.0,0.0,0.0,0.0,,,
1924,ALG,0.0,0,0.0,0.0,0.0,0.0,,,
1928,ALG,0.0,0,0.0,0.0,0.0,0.0,,,
1932,ALG,0.0,0,0.0,0.0,0.0,0.0,,,
1936,ALG,0.0,0,0.0,0.0,0.0,0.0,,,
1948,ALG,0.0,0,0.0,0.0,0.0,0.0,,,
1952,ALG,0.0,0,0.0,0.0,0.0,0.0,,,
1956,ALG,0.0,0,0.0,0.0,0.0,0.0,,,
1960,ALG,0.0,0,0.0,0.0,0.0,0.0,,,
1964,ALG,0.0,0,0.0,0.0,0.0,0.0,,,
1968,ALG,0.0,0,0.0,0.0,0.0,0.0,,,
1972,ALG,0.0,0,0.0,0.0,0.0,0.0,,,
1976,ALG,0.0,0,0.0,0.0,0.0,0.0,,,
1980,ALG,0.0,0,0.0,0.0,0.0,0.0,,,
1984,ALG,2.0,0,0.0,0.0,0.0,2.0,,,
1988,ALG,0.0,0,0.0,0.0,0.1,-2.0,,,
1992,ALG,2.0,0,0.0,0.0,0.09523809523809523,2.0,,,
1996,ALG,3.0,0,0.0,0.0,0.18181818181818182,1.0,,,
2000,ALG,5.0,0,0.0,0.0,0.30434782608695654,2.0,,,
2004,ALG,0.0,0,0.0,0.0,0.5,-5.0,,,
2008,ALG,2.0,0,0.0,0.0,0.48,2.0,,,
2012,ALG,1.0,0,0.0,0.0,0.5384615384615384,-1.0,,,
2016,ALG,2.0,0,0.0,0.0,0.5555555555555556,1.0,,,
2020,ALG,0.0,0,0.0,0.0,0.6071428571428571,-2.0,,,
