Sl. No.,Discipline,Name of Athlete,Event,Core / Development,State,Grand Total
1,Cycling,David Beckham,"M Team Sprint, Sprint, Keirin",Development,Andaman and Nicobar Islands,2865572
2,Cycling,Alben Esow,"M Team Sprint, Keirin",Development,Andaman and Nicobar Islands,4579085
3,Archery,Dhiraj Bommadevara,Recurve,Core,Andhra Pradesh,4694900
4,Athletics,Dandi Jyothika Sri,Women's 4X400m Relay,Core,Andhra Pradesh,299000
5,Athletics,Jyothi Yarraji,W 100m Hurdles,Core,Andhra Pradesh,1349536
6,Boxing,Lovlina Borgohain,F 75 Kg,Core,Assam,2322216
7,Boxing,Shiva Thapa,M 63.5 Kg,Core,Assam,1150000
8,Shooting,Hriday Hazarika,10m Air Rifle Men,Development,Assam,1014590
9,Shooting,Anjum Moudgil,50m Rifle 3 Positions Women,Core,Chandigarh,3824206
10,Shooting,Vijayveer Sidhu,25m Rapid Fire Pistol Men,Core,Chandigarh,3220283
11,Shooting,Arjun Babuta,10m Air Rifle Men,Core,Chandigarh,1865574
12,Badminton,Ishaan Bhatnagar,Mixed Doubles,Development,Chattisgarh,2202370
13,Weightlifting,Gyaneshwari Yadav,W 49kg,Development,Chattisgarh,175000
14,Athletics,Amoj Jacob,M 4X400m Relay,Core,Delhi,553999
15,Athletics,Vikas Singh,M 20 KM Racewalk,Core,Delhi,5350472
16,Athletics,Tejaswin Shanker,M High Jump/Decathlon,Development,Delhi,3221540
17,Badminton,Anupama Upadhaya,Women’s Singles,Development,Delhi,1903719
18,Shooting,Rajeshwari Kumari,Trap Women,Core,Delhi,4058120
19,Shooting,Akhil Sheoran,50m Rifle 3 Positions Men,Development,Delhi,736642
20,Table Tennis,Manika Batra,Mixed Doubles,Core,Delhi,8770361
21,Table Tennis,Payas Jain,Men's Singles,Development,Delhi,3760021
22,Wrestling,Yash Tushir,74kg FS,Development,Delhi,775000
23,Badminton,Tanisha Crasto,Women's Doubles,Core,Goa,1794831
24,Badminton,Tasnim Mir,Women’s Singles,Development,Gujarat,1150000
25,Shooting,Elavenil Valarivan,10m Air Rifle Women,Core,Gujarat,2217716
26,Swimming,Aryan Nehra,"400m, 800m & 1500m Freestyle",Development,Gujarat,2535963
27,Table Tennis,Harmeet Desai,Men's Singles,Core,Gujarat,1156659
28,Table Tennis,Manav Thakkar,Men's Singles,Development,Gujarat,2401976
29,Table Tennis,Manush Shah,Men's Singles,Development,Gujarat,2104404
30,Archery,Aditya Choudhary,Recurve,Development,Haryana,1864029
31,Archery,Bhajan Kaur,Recurve,Development,Haryana,400000
32,Archery,Ridhi,Recurve,Development,Haryana,2098464
33,Archery,Tisha Punia,Recurve,Development,Haryana,1702646
34,Athletics,Neeraj Chopra,M Javelin Throw,Core,Haryana,32904099
35,Athletics,Kiran Pahal,Women's 4X400m Relay,Core,Haryana,299000
