Name,Sex,NOC,Country,Sport,Event,Medal,Year
EVENEPOEL Remco,Male,BEL,Belgium,Cycling Road,Men's Individual Time Trial,Gold Medal,2024
GANNA Filippo,Male,ITA,Italy,Cycling Road,Men's Individual Time Trial,Silver Medal,2024
van AERT Wout,Male,BEL,Belgium,Cycling Road,Men's Individual Time Trial,Bronze Medal,2024
BROWN Grace,Female,AUS,Australia,Cycling Road,Women's Individual Time Trial,Gold Medal,2024
HENDERSON Anna,Female,GBR,Great Britain,Cycling Road,Women's Individual Time Trial,Silver Medal,2024
DYGERT Chloe,Female,USA,United States,Cycling Road,Women's Individual Time Trial,Bronze Medal,2024
OH Sanguk,Male,KOR,Korea,Fencing,Men's Sabre Individual,Gold Medal,2024
FERJANI Fares,Male,TUN,Tunisia,Fencing,Men's Sabre Individual,Silver Medal,2024
SAMELE Luigi,Male,ITA,Italy,Fencing,Men's Sabre Individual,Bronze Medal,2024
KONG Man Wai Vivian,Female,HKG,"Hong Kong, China",Fencing,Women's Épée Individual,Gold Medal,2024
MALLO-BRETON Auriane,Female,FRA,France,Fencing,Women's Épée Individual,Silver Medal,2024
MUHARI Eszter,Female,HUN,Hungary,Fencing,Women's Épée Individual,Bronze Medal,2024
SMETOV Yeldos,Male,KAZ,Kazakhstan,Judo,Men -60 kg,Gold Medal,2024
MKHEIDZE Luka,Male,FRA,France,Judo,Men -60 kg,Silver Medal,2024
NAGAYAMA Ryuju,Male,JPN,Japan,Judo,Men -60 kg,Bronze Medal,2024
GARRIGOS Francisco,Male,ESP,Spain,Judo,Men -60 kg,Bronze Medal,2024
TSUNODA Natsumi,Female,JPN,Japan,Judo,Women -48 kg,Gold Medal,2024
BAVUUDORJ Baasankhuu,Female,MGL,Mongolia,Judo,Women -48 kg,Silver Medal,2024
BOUKLI Shirine,Female,FRA,France,Judo,Women -48 kg,Bronze Medal,2024
BABULFATH Tara,Female,SWE,Sweden,Judo,Women -48 kg,Bronze Medal,2024
MAERTENS Lukas,Male,GER,Germany,Swimming,Men's 400m Freestyle,Gold Medal,2024
WINNINGTON Elijah,Male,AUS,Australia,Swimming,Men's 400m Freestyle,Silver Medal,2024
KIM Woomin,Male,KOR,Korea,Swimming,Men's 400m Freestyle,Bronze Medal,2024
TITMUS Ariarne,Female,AUS,Australia,Swimming,Women's 400m Freestyle,Gold Medal,2024
McINTOSH Summer,Female,CAN,Canada,Swimming,Women's 400m Freestyle,Silver Medal,2024
LEDECKY Katie,Female,USA,United States,Swimming,Women's 400m Freestyle,Bronze Medal,2024
FOX Jessica,Female,AUS,Australia,Canoe Slalom,Women's Kayak Single,Gold Medal,2024
ZWOLINSKA Klaudia,Female,POL,Poland,Canoe Slalom,Women's Kayak Single,Silver Medal,2024
WOODS Kimberley,Female,GBR,Great Britain,Canoe Slalom,Women's Kayak Single,Bronze Medal,2024
FERRAND PREVOT Pauline,Female,FRA,France,Cycling Mountain Bike,Women's Cross-country,Gold Medal,2024
BATTEN Haley,Female,USA,United States,Cycling Mountain Bike,Women's Cross-country,Silver Medal,2024
RISSVEDS Jenny,Female,SWE,Sweden,Cycling Mountain Bike,Women's Cross-country,Bronze Medal,2024
KANO Koki,Male,JPN,Japan,Fencing,Men's Épée Individual,Gold Medal,2024
BOREL Yannick,Male,FRA,France,Fencing,Men's Épée Individual,Silver Medal,2024
ELSAYED Mohamed,Male,EGY,Egypt,Fencing,Men's Épée Individual,Bronze Medal,2024
KIEFER Lee,Female,USA,United States,Fencing,Women's Foil Individual,Gold Medal,2024
SCRUGGS Lauren,Female,USA,United States,Fencing,Women's Foil Individual,Silver Medal,2024
HARVEY Eleanor,Female,CAN,Canada,Fencing,Women's Foil Individual,Bronze Medal,2024
ABE Hifumi,Male,JPN,Japan,Judo,Men -66 kg,Gold Medal,2024
LIMA Willian,Male,BRA,Brazil,Judo,Men -66 kg,Silver Medal,2024
KYRGYZBAYEV Gusman,Male,KAZ,Kazakhstan,Judo,Men -66 kg,Bronze Medal,2024
VIERU Denis,Male,MDA,Republic of Moldova,Judo,Men -66 kg,Bronze Medal,2024
KELDIYOROVA Diyora,Female,UZB,Uzbekistan,Judo,Women -52 kg,Gold Medal,2024
KRASNIQI Distria,Female,KOS,Kosovo,Judo,Women -52 kg,Silver Medal,2024
PIMENTA Larissa,Female,BRA,Brazil,Judo,Women -52 kg,Bronze Medal,2024
BUCHARD Amandine,Female,FRA,France,Judo,Women -52 kg,Bronze Medal,2024
XIE Yu,Male,CHN,China,Shooting,10m Air Pistol Men,Gold Medal,2024
MALDINI Federico Nilo,Male,ITA,Italy,Shooting,10m Air Pistol Men,Silver Medal,2024
MONNA Paolo,Male,ITA,Italy,Shooting,10m Air Pistol Men,Bronze Medal,2024
OH Ye Jin,Female,KOR,Korea,Shooting,10m Air Pistol Women,Gold Medal,2024
KIM Yeji,Female,KOR,Korea,Shooting,10m Air Pistol Women,Silver Medal,2024
BHAKER Manu,Female,IND,India,Shooting,10m Air Pistol Women,Bronze Medal,2024
YOSHIZAWA Coco,Female,JPN,Japan,Skateboarding,Women's Street,Gold Medal,2024
AKAMA Liz,Female,JPN,Japan,Skateboarding,Women's Street,Silver Medal,2024
LEAL Rayssa,Female,BRA,Brazil,Skateboarding,Women's Street,Bronze Medal,2024
MARTINENGHI Nicolo,Male,ITA,Italy,Swimming,Men's 100m Breaststroke,Gold Medal,2024
PEATY Adam,Male,GBR,Great Britain,Swimming,Men's 100m Breaststroke,Silver Medal,2024
FINK Nic,Male,USA,United States,Swimming,Men's 100m Breaststroke,Silver Medal,2024
MARCHAND Leon,Male,FRA,France,Swimming,Men's 400m Individual Medley,Gold Medal,2024
MATSUSHITA Tomoyuki,Male,JPN,Japan,Swimming,Men's 400m Individual Medley,Silver Medal,2024
FOSTER Carson,Male,USA,United States,Swimming,Men's 400m Individual Medley,Bronze Medal,2024
HUSKE Torri,Female,USA,United States,Swimming,Women's 100m Butterfly,Gold Medal,2024
WALSH Gretchen,Female,USA,United States,Swimming,Women's 100m Butterfly,Silver Medal,2024
ZHANG Yufei,Female,CHN,China,Swimming,Women's 100m Butterfly,Bronze Medal,2024
GESTIN Nicolas,Male,FRA,France,Canoe Slalom,Men's Canoe Single,Gold Medal,2024
BURGESS Adam,Male,GBR,Great Britain,Canoe Slalom,Men's Canoe Single,Silver Medal,2024
BENUS Matej,Male,SVK,Slovakia,Canoe Slalom,Men's Canoe Single,Bronze Medal,2024
PIDCOCK Thomas,Male,GBR,Great Britain,Cycling Mountain Bike,Men's Cross-country,Gold Medal,2024
KORETZKY Victor,Male,FRA,France,Cycling Mountain Bike,Men's Cross-country,Silver Medal,2024
HATHERLY Alan,Male,RSA,South Africa,Cycling Mountain Bike,Men's Cross-country,Bronze Medal,2024
JUNG Michael,Male,GER,Germany,Equestrian,Eventing Individual,Gold Medal,2024
BURTON Christopher,Male,AUS,Australia,Equestrian,Eventing Individual,Silver Medal,2024
COLLETT Laura,Female,GBR,Great Britain,Equestrian,Eventing Individual,Bronze Medal,2024
CHEUNG Ka Long,Male,HKG,"Hong Kong, China",Fencing,Men's Foil Individual,Gold Medal,2024
MACCHI Filippo,Male,ITA,Italy,Fencing,Men's Foil Individual,Silver Medal,2024
ITKIN Nick,Male,USA,United States,Fencing,Men's Foil Individual,Bronze Medal,2024
APITHY-BRUNET Manon,Female,FRA,France,Fencing,Women's Sabre Individual,Gold Medal,2024
BALZER Sara,Female,FRA,France,Fencing,Women's Sabre Individual,Silver Medal,2024
KHARLAN Olga,Female,UKR,Ukraine,Fencing,Women's Sabre Individual,Bronze Medal,2024
HEYDAROV Hidayat,Male,AZE,Azerbaijan,Judo,Men -73 kg,Gold Medal,2024
GABA Joan-Benjamin,Male,FRA,France,Judo,Men -73 kg,Silver Medal,2024
OSMANOV Adil,Male,MDA,Republic of Moldova,Judo,Men -73 kg,Bronze Medal,2024
HASHIMOTO Soichi,Male,JPN,Japan,Judo,Men -73 kg,Bronze Medal,2024
DEGUCHI Christa,Female,CAN,Canada,Judo,Women -57 kg,Gold Medal,2024
HUH Mimi,Female,KOR,Korea,Judo,Women -57 kg,Silver Medal,2024
FUNAKUBO Haruka,Female,JPN,Japan,Judo,Women -57 kg,Bronze Medal,2024
CYSIQUE Sarah Leonie,Female,FRA,France,Judo,Women -57 kg,Bronze Medal,2024
SHENG Lihao,Male,CHN,China,Shooting,10m Air Rifle Men,Gold Medal,2024
LINDGREN Victor,Male,SWE,Sweden,Shooting,10m Air Rifle Men,Silver Medal,2024
MARICIC Miran,Male,CRO,Croatia,Shooting,10m Air Rifle Men,Bronze Medal,2024
BAN Hyojin,Female,KOR,Korea,Shooting,10m Air Rifle Women,Gold Medal,2024
HUANG Yuting,Female,CHN,China,Shooting,10m Air Rifle Women,Silver Medal,2024
GOGNIAT Audrey,Female,SUI,Switzerland,Shooting,10m Air Rifle Women,Bronze Medal,2024
HORIGOME Yuto,Male,JPN,Japan,Skateboarding,Men's Street,Gold Medal,2024
EATON Jagger,Male,USA,United States,Skateboarding,Men's Street,Silver Medal,2024
HUSTON Nyjah,Male,USA,United States,Skateboarding,Men's Street,Bronze Medal,2024
CECCON Thomas,Male,ITA,Italy,Swimming,Men's 100m Backstroke,Gold Medal,2024
XU Jiayu,Male,CHN,China,Swimming,Men's 100m Backstroke,Silver Medal,2024
MURPHY Ryan,Male,USA,United States,Swimming,Men's 100m Backstroke,Bronze Medal,2024
POPOVICI David,Male,ROU,Romania,Swimming,Men's 200m Freestyle,Gold Medal,2024
RICHARDS Matthew,Male,GBR,Great Britain,Swimming,Men's 200m Freestyle,Silver Medal,2024
HOBSON Luke,Male,USA,United States,Swimming,Men's 200m Freestyle,Bronze Medal,2024
SMITH Tatjana,Female,RSA,South Africa,Swimming,Women's 100m Breaststroke,Gold Medal,2024
TANG Qianting,Female,CHN,China,Swimming,Women's 100m Breaststroke,Silver Medal,2024
Mc SHARRY Mona,Female,IRL,Ireland,Swimming,Women's 100m Breaststroke,Bronze Medal,2024
O'CALLAGHAN Mollie,Female,AUS,Australia,Swimming,Women's 200m Freestyle,Gold Medal,2024
TITMUS Ariarne,Female,AUS,Australia,Swimming,Women's 200m Freestyle,Silver Medal,2024
HAUGHEY Siobhan Bernadette,Female,HKG,"Hong Kong, China",Swimming,Women's 200m Freestyle,Bronze Medal,2024
McINTOSH Summer,Female,CAN,Canada,Swimming,Women's 400m Individual Medley,Gold Medal,2024
GRIMES Katie,Female,USA,United States,Swimming,Women's 400m Individual Medley,Silver Medal,2024
WEYANT Emma,Female,USA,United States,Swimming,Women's 400m Individual Medley,Bronze Medal,2024
NAGASE Takanori,Male,JPN,Japan,Judo,Men -81 kg,Gold Medal,2024
GRIGALASHVILI Tato,Male,GEO,Georgia,Judo,Men -81 kg,Silver Medal,2024
