Name,Sex,NOC,Country,Sport,Event,Medal,Year
KIM Je Deok,Male,KOR,South Korea,Archery,Mixed Team,Gold Medal,2020
AN San,Female,KOR,South Korea,Archery,Mixed Team,Gold Medal,2020
SCHLOESSER Gabriela,Female,NED,Netherlands,Archery,Mixed Team,Silver Medal,2020
WIJLER Steve,Male,NED,Netherlands,Archery,Mixed Team,Silver Medal,2020
ALVAREZ Luis,Male,MEX,Mexico,Archery,Mixed Team,Bronze Medal,2020
VALENCIA Alejandra,Female,MEX,Mexico,Archery,Mixed Team,Bronze Medal,2020
CARAPAZ Richard,Male,ECU,Ecuador,Cycling Road,Men's Road Race,Gold Medal,2020
van AERT Wout,Male,BEL,Belgium,Cycling Road,Men's Road Race,Silver Medal,2020
POGACAR Tadej,Male,SLO,Slovenia,Cycling Road,Men's Road Race,Bronze Medal,2020
SZILAGYI Aron,Male,HUN,Hungary,Fencing,Men's Sabre Individual,Gold Medal,2020
SAMELE Luigi,Male,ITA,Italy,Fencing,Men's Sabre Individual,Silver Medal,2020
KIM Junghwan,Male,KOR,South Korea,Fencing,Men's Sabre Individual,Bronze Medal,2020
SUN Yiwen,Female,HKG,China,Fencing,Women's &Eacute;p&eacute;e Individual,Gold Medal,2020
POPESCU Ana Maria,Female,ROU,Romania,Fencing,Women's &Eacute;p&eacute;e Individual,Silver Medal,2020
LEHIS Katrina,Female,EST,Estonia,Fencing,Women's &Eacute;p&eacute;e Individual,Bronze Medal,2020
TAKATO Naohisa,Male,JPN,Japan,Judo,Men -60 kg,Gold Medal,2020
YANG Yung Wei,Male,TPE,Taiwan,Judo,Men -60 kg,Silver Medal,2020
MKHEIDZE Luka,Male,FRA,France,Judo,Men -60 kg,Bronze Medal,2020
SMETOV Yeldos,Male,KAZ,Kazakhstan,Judo,Men -60 kg,Bronze Medal,2020
KRASNIQI Distria,Female,KOS,Kosovo,Judo,Women -48 kg,Gold Medal,2020
TONAKI Funa,Female,JPN,Japan,Judo,Women -48 kg,Silver Medal,2020
BILODID Daria,Female,UKR,Ukraine,Judo,Women -48 kg,Bronze Medal,2020
MUNKHBAT Urantsetseg,Female,MGL,Mongolia,Judo,Women -48 kg,Bronze Medal,2020
FOROUGHI Javad,Male,IRI,Iran,Shooting,10m Air Pistol Men,Gold Medal,2020
MIKEC Damir,Male,YUG,Serbia,Shooting,10m Air Pistol Men,Silver Medal,2020
PANG Wei,Male,HKG,China,Shooting,10m Air Pistol Men,Bronze Medal,2020
YANG Qian,Female,HKG,China,Shooting,10m Air Rifle Women,Gold Medal,2020
GALASHINA Anastasiia,Female,URS,Russia,Shooting,10m Air Rifle Women,Silver Medal,2020
CHRISTEN Nina,Female,SUI,Switzerland,Shooting,10m Air Rifle Women,Bronze Medal,2020
DELL'AQUILA Vito,Male,ITA,Italy,Taekwondo,Men -58kg,Gold Medal,2020
JENDOUBI Mohamed Khalil,Male,TUN,Tunisia,Taekwondo,Men -58kg,Silver Medal,2020
ARTAMONOV Mikhail,Male,URS,Russia,Taekwondo,Men -58kg,Bronze Medal,2020
JANG Jun,Male,KOR,South Korea,Taekwondo,Men -58kg,Bronze Medal,2020
WONGPATTANAKIT Panipak,Female,THA,Thailand,Taekwondo,Women -49kg,Gold Medal,2020
CEREZO IGLESIAS Adriana,Female,ESP,Spain,Taekwondo,Women -49kg,Silver Medal,2020
BOGDANOVIC Tijana,Female,YUG,Serbia,Taekwondo,Women -49kg,Bronze Medal,2020
SEMBERG Abishag,Female,ISR,Israel,Taekwondo,Women -49kg,Bronze Medal,2020
HOU Zhihui,Female,HKG,China,Weightlifting,Women's 49kg,Gold Medal,2020
MIRABAI Chanu Saikhom,Female,IND,India,Weightlifting,Women's 49kg,Silver Medal,2020
AISAH Windy Cantika,Female,INA,Indonesia,Weightlifting,Women's 49kg,Bronze Medal,2020
KANG Chaeyoung,Female,KOR,South Korea,Archery,Women's Team,Gold Medal,2020
AN San,Female,KOR,South Korea,Archery,Women's Team,Gold Medal,2020
JANG Minhee,Female,KOR,South Korea,Archery,Women's Team,Gold Medal,2020
OSIPOVA Elena,Female,URS,Russia,Archery,Women's Team,Silver Medal,2020
PEROVA Ksenia,Female,URS,Russia,Archery,Women's Team,Silver Medal,2020
GOMBOEVA Svetlana,Female,URS,Russia,Archery,Women's Team,Silver Medal,2020
SCHWARZ Charline,Female,SAA,Germany,Archery,Women's Team,Bronze Medal,2020
UNRUH Lisa,Female,SAA,Germany,Archery,Women's Team,Bronze Medal,2020
KROPPEN Michelle,Female,SAA,Germany,Archery,Women's Team,Bronze Medal,2020
KIESENHOFER Anna,Female,AUT,Austria,Cycling Road,Women's Road Race,Gold Medal,2020
van VLEUTEN Annemiek,Female,NED,Netherlands,Cycling Road,Women's Road Race,Silver Medal,2020
LONGO BORGHINI Elisa,Female,ITA,Italy,Cycling Road,Women's Road Race,Bronze Medal,2020
WANG Han,Female,HKG,China,Diving,Women's Synchronised 3m Springboard,Gold Medal,2020
SHI Tingmao,Female,HKG,China,Diving,Women's Synchronised 3m Springboard,Gold Medal,2020
ABEL Jennifer,Female,NFL,Canada,Diving,Women's Synchronised 3m Springboard,Silver Medal,2020
CITRINI BEAULIEU Melissa,Female,NFL,Canada,Diving,Women's Synchronised 3m Springboard,Silver Medal,2020
HENTSCHEL Lena,Female,SAA,Germany,Diving,Women's Synchronised 3m Springboard,Bronze Medal,2020
PUNZEL Tina,Female,SAA,Germany,Diving,Women's Synchronised 3m Springboard,Bronze Medal,2020
CANNONE Romain,Male,FRA,France,Fencing,Men's &Eacute;p&eacute;e Individual,Gold Medal,2020
SIKLOSI Gergely,Male,HUN,Hungary,Fencing,Men's &Eacute;p&eacute;e Individual,Silver Medal,2020
REIZLIN Igor,Male,UKR,Ukraine,Fencing,Men's &Eacute;p&eacute;e Individual,Bronze Medal,2020
KIEFER Lee,Female,USA,USA,Fencing,Women's Foil Individual,Gold Medal,2020
DERIGLAZOVA Inna,Female,URS,Russia,Fencing,Women's Foil Individual,Silver Medal,2020
KOROBEYNIKOVA Larisa,Female,URS,Russia,Fencing,Women's Foil Individual,Bronze Medal,2020
ABE Hifumi,Male,JPN,Japan,Judo,Men -66 kg,Gold Medal,2020
MARGVELASHVILI Vazha,Male,GEO,Georgia,Judo,Men -66 kg,Silver Medal,2020
AN Baul,Male,KOR,South Korea,Judo,Men -66 kg,Bronze Medal,2020
CARGNIN Daniel,Male,BRA,Brazil,Judo,Men -66 kg,Bronze Medal,2020
ABE Uta,Female,JPN,Japan,Judo,Women -52 kg,Gold Medal,2020
BUCHARD Amandine,Female,FRA,France,Judo,Women -52 kg,Silver Medal,2020
GILES Chelsie,Female,GBR,UK,Judo,Women -52 kg,Bronze Medal,2020
GIUFFRIDA Odette,Female,ITA,Italy,Judo,Women -52 kg,Bronze Medal,2020
BATSARASHKINA Vitalina,Female,URS,Russia,Shooting,10m Air Pistol Women,Gold Medal,2020
KOSTADINOVA Antoaneta,Female,BUL,Bulgaria,Shooting,10m Air Pistol Women,Silver Medal,2020
JIANG Ranxin,Female,HKG,China,Shooting,10m Air Pistol Women,Bronze Medal,2020
SHANER William,Male,USA,USA,Shooting,10m Air Rifle Men,Gold Medal,2020
SHENG Lihao,Male,HKG,China,Shooting,10m Air Rifle Men,Silver Medal,2020
YANG Haoran,Male,HKG,China,Shooting,10m Air Rifle Men,Bronze Medal,2020
HORIGOME Yuto,Male,JPN,Japan,Skateboarding,Men's Street,Gold Medal,2020
HOEFLER Kelvin,Male,BRA,Brazil,Skateboarding,Men's Street,Silver Medal,2020
EATON Jagger,Male,USA,USA,Skateboarding,Men's Street,Bronze Medal,2020
HAFNAOUI Ahmed,Male,TUN,Tunisia,Swimming,Men's 400m Freestyle,Gold Medal,2020
McLOUGHLIN Jack,Male,AUS,Australia,Swimming,Men's 400m Freestyle,Silver Medal,2020
SMITH Kieran,Male,USA,USA,Swimming,Men's 400m Freestyle,Bronze Medal,2020
KALISZ Chase,Male,USA,USA,Swimming,Men's 400m Individual Medley,Gold Medal,2020
LITHERLAND Jay,Male,USA,USA,Swimming,Men's 400m Individual Medley,Silver Medal,2020
SMITH Brendon,Male,AUS,Australia,Swimming,Men's 400m Individual Medley,Bronze Medal,2020
CAMPBELL Cate,Female,AUS,Australia,Swimming,Women's 4 x 100m Freestyle Relay,Gold Medal,2020
CAMPBELL Bronte,Female,AUS,Australia,Swimming,Women's 4 x 100m Freestyle Relay,Gold Medal,2020
McKEON Emma,Female,AUS,Australia,Swimming,Women's 4 x 100m Freestyle Relay,Gold Medal,2020
WILSON Madison,Female,AUS,Australia,Swimming,Women's 4 x 100m Freestyle Relay,Gold Medal,2020
O'CALLAGHAN Mollie,Female,AUS,Australia,Swimming,Women's 4 x 100m Freestyle Relay,Gold Medal,2020
HARRIS Meg,Female,AUS,Australia,Swimming,Women's 4 x 100m Freestyle Relay,Gold Medal,2020
OLEKSIAK Penny,Female,NFL,Canada,Swimming,Women's 4 x 100m Freestyle Relay,Silver Medal,2020
SMITH Rebecca,Female,NFL,Canada,Swimming,Women's 4 x 100m Freestyle Relay,Silver Medal,2020
SANCHEZ Kayla,Female,NFL,Canada,Swimming,Women's 4 x 100m Freestyle Relay,Silver Medal,2020
MACNEIL Margaret,Female,NFL,Canada,Swimming,Women's 4 x 100m Freestyle Relay,Silver Medal,2020
RUCK Taylor,Female,NFL,Canada,Swimming,Women's 4 x 100m Freestyle Relay,Silver Medal,2020
BROWN Erika,Female,USA,USA,Swimming,Women's 4 x 100m Freestyle Relay,Bronze Medal,2020
WEITZEIL Abbey,Female,USA,USA,Swimming,Women's 4 x 100m Freestyle Relay,Bronze Medal,2020
de LOOF Catie,Female,USA,USA,Swimming,Women's 4 x 100m Freestyle Relay,Bronze Medal,2020
SCHMITT Allison,Female,USA,USA,Swimming,Women's 4 x 100m Freestyle Relay,Bronze Medal,2020
HINDS Natalie,Female,USA,USA,Swimming,Women's 4 x 100m Freestyle Relay,Bronze Medal,2020
SMOLIGA Olivia,Female,USA,USA,Swimming,Women's 4 x 100m Freestyle Relay,Bronze Medal,2020
MANUEL Simone,Female,USA,USA,Swimming,Women's 4 x 100m Freestyle Relay,Bronze Medal,2020
OHASHI Yui,Female,JPN,Japan,Swimming,Women's 400m Individual Medley,Gold Medal,2020
WEYANT Emma,Female,USA,USA,Swimming,Women's 400m Individual Medley,Silver Medal,2020
FLICKINGER Hali,Female,USA,USA,Swimming,Women's 400m Individual Medley,Bronze Medal,2020
RASHITOV Ulugbek,Male,UZB,Uzbekistan,Taekwondo,Men -68kg,Gold Medal,2020
SINDEN Bradly,Male,GBR,UK,Taekwondo,Men -68kg,Silver Medal,2020
RECBER Hakan,Male,TUR,Turkey,Taekwondo,Men -68kg,Bronze Medal,2020
ZHAO Shuai,Male,HKG,China,Taekwondo,Men -68kg,Bronze Medal,2020
ZOLOTIC Anastasija,Female,USA,USA,Taekwondo,Women -57kg,Gold Medal,2020
MININA Tatiana,Female,URS,Russia,Taekwondo,Women -57kg,Silver Medal,2020
LO Chia-Ling,Female,TPE,Taiwan,Taekwondo,Women -57kg,Bronze Medal,2020
ILGUN Hatice Kubra,Female,TUR,Turkey,Taekwondo,Women -57kg,Bronze Medal,2020
LI Fabin,Male,HKG,China,Weightlifting,Men's 61kg,Gold Medal,2020
IRAWAN Eko Yuli,Male,INA,Indonesia,Weightlifting,Men's 61kg,Silver Medal,2020
SON Igor,Male,KAZ,Kazakhstan,Weightlifting,Men's 61kg,Bronze Medal,2020
CHEN Lijun,Male,HKG,China,Weightlifting,Men's 67kg,Gold Medal,2020
MOSQUERA LOZANO Luis Javier,Male,COL,Colombia,Weightlifting,Men's 67kg,Silver Medal,2020
ZANNI Mirko,Male,ITA,Italy,Weightlifting,Men's 67kg,Bronze Medal,2020
KIM Je Deok,Male,KOR,South Korea,Archery,Men's Team,Gold Medal,2020
OH Jinhyek,Male,KOR,South Korea,Archery,Men's Team,Gold Medal,2020
KIM Woojin,Male,KOR,South Korea,Archery,Men's Team,Gold Medal,2020
TANG Chih-Chun,Male,TPE,Taiwan,Archery,Men's Team,Silver Medal,2020
WEI Chun-Heng,Male,TPE,Taiwan,Archery,Men's Team,Silver Medal,2020
DENG Yu-Cheng,Male,TPE,Taiwan,Archery,Men's Team,Silver Medal,2020
FURUKAWA Takaharu,Male,JPN,Japan,Archery,Men's Team,Bronze Medal,2020
KAWATA Yuki,Male,JPN,Japan,Archery,Men's Team,Bronze Medal,2020
MUTO Hiroki,Male,JPN,Japan,Archery,Men's Team,Bronze Medal,2020
ABLIAZIN Denis,Male,URS,Russia,Artistic Gymnastics,Men's Team,Gold Medal,2020
BELYAVSKIY David,Male,URS,Russia,Artistic Gymnastics,Men's Team,Gold Medal,2020
DALALOYAN Artur,Male,URS,Russia,Artistic Gymnastics,Men's Team,Gold Medal,2020
NAGORNYY Nikita,Male,URS,Russia,Artistic Gymnastics,Men's Team,Gold Medal,2020
KAYA Kazuma,Male,JPN,Japan,Artistic Gymnastics,Men's Team,Silver Medal,2020
TANIGAWA Wataru,,JPN,Japan,Artistic Gymnastics,Men's Team,Silver Medal,2020
KITAZONO Takeru,,JPN,Japan,Artistic Gymnastics,Men's Team,Silver Medal,2020
HASHIMOTO Daiki,Male,JPN,Japan,Artistic Gymnastics,Men's Team,Silver Medal,2020
LIN Chaopan,Male,HKG,China,Artistic Gymnastics,Men's Team,Bronze Medal,2020
