Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
World,WLD,"Population, total",SP.POP.TOTL,3021512598,3062768116,3117372187,3184063049,3251253200,3318997522,3389087189,3459015356,3530703561,3604815552,3680589045,3758613546,3834446322,3911068458,3987294240,4062070771,4135758539,4208958804,4283431043,4360056401,4437602892,4516926190,4599539241,4682924536,4766040300,4850740788,4937711562,5027030278,5117167006,5207654866,5299246757,5388496229,5477123966,5564778621,5650853178,5736505517,5822614627,5908466558,5994040064,6078404337,6161884811,6245112906,6327557399,6409750441,6492769815,6575841506,6659977025,6744489399,6830513541,6916589116,7001266876,7087120034,7176929184,7265892332,7354068030,7441677465,7528879985,7614523410,7697233736,7778008621,7854748424,7920514854,7989545217,8064057930,8141808945
World,WLD,GDP (current US$),NY.GDP.MKTP.CD,1366488391354.06,1443968549479.04,1544903390848.07,1670354539896.75,1831030283046.23,1995234672640.12,2162707523801.04,2294873084337.8,2479815244885.12,2739123953755.11,3004258440770.47,3319897075453.74,3834213544152.23,4688557691603.01,5419514194142.38,6035142144928.12,6560173647274.55,7416442857108.44,8779661745036.99,10155462903237.9,11452768541637.6,11843441094928.7,11719276657617.9,11962974794875.2,12427957579028,13016982447733.2,15348439146362.6,17472239624529,19524821807843.9,20395813960211,22922751084575,23920903881560.9,25546959069356.8,25974923485795.5,27961448359307.6,31245419629026,31968950237590.7,31870560107975.7,31733749169046.7,32782827769545.3,33898156427205.9,33690417699612.7,34991525564916.9,39243276986261.9,44225384449869.8,47900489808168.9,51923507284496,58525785801185.8,64311729364641.3,60982255960004.4,66811191491614.9,74309709353789.2,75960594595757,78034892841179.2,80054888775431.1,75621913961646.2,76831684012526.2,81839102917044.7,87050964956078.4,88483262418196.6,85912761035231.2,98140475264975.9,102251524725531,106741647821064,110982661180013
World,WLD,GDP per capita (current US$),NY.GDP.PCAP.CD,452.253084186565,471.458659222586,495.578743305208,524.598449902349,563.176772281603,601.155818711732,638.138650082703,663.446920048249,702.357250344395,759.851347244496,816.243922926329,883.27704745992,999.939292970036,1198.79202881573,1359.19595292831,1485.7304279419,1586.20808865228,1762.06116583042,2049.67972097619,2329.20448022386,2580.84574495937,2622.01342168238,2547.9240514252,2554.59482699534,2607.60648184783,2683.50402889705,3108.41144802427,3475.65832276632,3815.55297783922,3916.50646692665,4325.66214326506,4439.25408220989,4664.3017809973,4667.73707542885,4948.18171319114,5446.76886240778,5490.48018554204,5394.04933498749,5294.21706064972,5393.3279117337,5501.26421816454,5394.68512526725,5530.02104262965,6122.43446098028,6811.48195762271,7284.31331023763,7796.34931015336,8677.57102707632,9415.35786125182,8816.8105604156,9542.72886249208,10485.1771943036,10583.9966715989,10739.8911620948,10885.7966024868,10161.9445773234,10204.9287763386,10747.764306505,11309.3830773178,11376.0818134476,10937.6846205191,12390.6686716727,12798.1658465319,13236.7163960917,13631.2043097215
Afghanistan,AFG,"Population, total",SP.POP.TOTL,9035043,9214083,9404406,9604487,9814318,10036008,10266395,10505959,10756922,11017409,11290128,11567667,11853696,12157999,12469127,12773954,13059851,13340756,13611441,13655567,13169311,11937581,10991378,10917982,11190221,11426852,11420074,11387818,11523298,11874088,12045660,12238879,13278974,14943172,16250794,17065836,17763266,18452091,19159996,19887785,20130327,20284307,21378117,22733049,23560654,24404567,25424094,25909852,26482622,27466101,28284089,29347708,30560034,31622704,32792523,33831764,34700612,35688935,36743039,37856121,39068979,40000412,40578842,41454761,42647492
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3521418059.92345,2813571753.87253,3825701438.99963,4520946818.54581,5224896718.67782,6203256538.70967,6971758282.29351,9747886187.39393,10109297047.5432,12416152732.0567,15856668555.8336,17805098206.3141,19907329777.5872,20146416757.5987,20497128555.6972,19134221644.7325,18116572395.0772,18753456497.8159,18053222687.4126,18799444490.1128,19955929052.1496,14259995441.0759,14497243872.1337,17152234636.8715,..
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,174.930991430166,138.706821676113,178.954088379235,198.871115728727,221.763653873013,254.184249149336,274.218553561575,376.223152003876,381.73323802844,452.053705477043,560.621505463146,606.694676337726,651.417134470046,637.087099117099,625.054941813938,565.569730408751,522.082215583898,525.469770891619,491.337221382603,496.6025042585,510.787063366811,356.496214115892,357.261152798144,413.757894705303,..
Albania,ALB,"Population, total",SP.POP.TOTL,1608800,1659800,1711319,1762621,1814135,1864791,1914573,1965598,2022272,2081695,2135479,2187853,2243126,2296752,2350124,2404831,2458526,2513546,2566266,2617832,2671997,2726056,2784278,2843960,2904429,2964762,3022635,3083605,3142336,3227943,3286542,3266790,3247039,3227287,3207536,3187784,3168033,3148281,3128530,3108778,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2860708,2816902,2773767,2731293,2689469,2648285,2607733,2567801,2528480,2489762,2451636,2414095,2377128
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1578102105.26316,1808177156.17716,1861163170.16317,1881412587.41259,1857337995.338,1897050116.55012,2097326250,2080796250,2051236250,2253090000,2028553750,1099559027.77778,652174990.837304,1185315468.46295,1880950864.41311,2905092798.61916,3234486232.04392,2293666029.99318,2600356999.20614,3283941510.49964,3584570164.85195,4059064033.13379,4515003116.68036,5801712040.48463,7406645793.44038,8256658249.8128,9150528132.17633,11116937869.8568,13258506375.4518,12335540656.1006,12086545641.299,12973755874.5365,12246499747.9714,12796985886.1478,13296322588.1684,11470171826.9575,11988668784.6628,13258268435.6048,15379508329.7568,15585111614.0376,15241458744.5927,18031989573.0294,19017247013.8821,23491242727.4082,27046429296.6673
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,590.607738430529,663.2942082544,668.454504242454,661.546782448624,639.484730161417,639.865903755552,693.873474633887,674.793383069492,652.774321396566,697.995596576519,617.230435515505,336.586994504629,200.852219772323,367.279225077581,586.416135130865,911.320465445326,1020.97618050188,728.545523729675,831.175344077295,1056.34481153033,1160.42047054038,1326.41652388077,1479.83884572006,1908.69900687608,2446.90949947798,2741.72136549578,3057.77257038113,3743.05529896187,4498.50486763601,4213.65007574693,4149.14469936847,4465.70914328865,4280.93316338873,4542.92903556739,4793.59751131525,4199.53912925398,4457.63412207495,5006.36012951959,5897.65452588774,6069.43903131027,6027.91350716348,7242.45513146613,7756.96188744253,9730.86921906893,11377.7757431099
Algeria,DZA,"Population, total",SP.POP.TOTL,11424922,11628883,11800771,11982118,12179813,12365976,12590069,12876118,13172614,13475960,13783719,14098936,14427072,14771147,15133502,15678596,16409170,17015994,17506974,18036655,18607174,19220704,19872348,20558115,21271969,22008544,22745499,23443624,24109536,24754485,25375810,25987928,26628568,27277048,27887279,28470191,29033044,29579301,30054133,30474354,30903893,31331221,31750835,32175818,32628286,33109249,33623506,34189416,34816961,35490445,36188236,36903376,37646166,38414171,39205031,40019529,40850721,41689299,42505035,43294546,44042091,44761099,45477389,46164219,46814308
